Name,Category,Platform,Keywords,Intent,Code Smell,When To Use,Structure,Bad Example,Good Example,Notes,Reference URL
Decorator,Structural,All,decorator wrapper extend behavior dynamically composition inheritance,Attach additional responsibilities to objects dynamically without modifying their code,Subclass explosion to add feature variations | Copy-paste code for cross-cutting concerns,Adding logging to repository calls | Caching layer around data source | Adding analytics to use cases,Component → Decorator → ConcreteDecorator,"class CachingUserRepo : UserRepository { ... }\nclass LoggingUserRepo : UserRepository { ... }\nclass CachingLoggingUserRepo : UserRepository { ... } // explosion","class LoggingDecorator(private val inner: UserRepository) : UserRepository {\n  override suspend fun getUser(id: String): User {\n    log(""getUser called"")\n    return inner.getUser(id)\n  }\n}",Compose decorators via DI. In Hilt use @Binds with qualifiers. In Flutter chain providers. Keeps each concern in a single class.,https://refactoring.guru/design-patterns/decorator
Facade,Structural,All,facade simplify subsystem interface complex api,Provide a simplified interface to a complex subsystem,Client code directly calls multiple subsystem classes | Long setup sequences repeated,Wrapping complex SDK initialization | Simplifying multi-step operations | Providing clean API for feature modules,Facade → Subsystem classes,"// In ViewModel\nval auth = FirebaseAuth.getInstance()\nval db = FirebaseFirestore.getInstance()\nval storage = FirebaseStorage.getInstance()\nauth.signIn(email, pass).then { db.collection(""users"").doc(it.uid).set(data) }","class AuthFacade @Inject constructor(\n  private val auth: FirebaseAuth,\n  private val db: Firestore,\n  private val storage: Storage\n) {\n  suspend fun signUp(email: String, pass: String, profile: Profile) { ... }\n}",Common in Android for Firebase/SDK wrappers. The Repository pattern is essentially a Facade over data sources.,https://refactoring.guru/design-patterns/facade
Composite,Structural,All,composite tree recursive hierarchy nested structure,Compose objects into tree structures to represent part-whole hierarchies,Recursive if/else to handle nested structures | Type-checking for leaf vs branch nodes,Building nested navigation menus | File/folder structures | Comment threads with replies | UI component trees,Component → Leaf → Composite,"fun render(item: Any) {\n  if (item is File) renderFile(item)\n  else if (item is Folder) {\n    renderFolder(item)\n    item.children.forEach { render(it) }\n  }\n}","sealed interface FileNode {\n  fun render(): Composable\n}\nclass File : FileNode { override fun render() = ... }\nclass Folder(val children: List<FileNode>) : FileNode {\n  override fun render() { children.forEach { it.render() } }\n}",Kotlin sealed interfaces are ideal for Composite. In Flutter use widget composition naturally. In SwiftUI use ViewBuilder.,https://refactoring.guru/design-patterns/composite
Proxy,Structural,All,proxy lazy loading caching access control wrapper,Provide a surrogate or placeholder for another object to control access to it,Direct access to expensive resources without caching | Missing access control on sensitive operations,Lazy-loading images | Caching API responses | Access control for premium features | Logging method calls,Subject → Proxy → RealSubject,"// Every call hits network\nsuspend fun getUser(id: String): User {\n  return api.fetchUser(id)\n}","class CachingUserProxy(private val api: UserApi) : UserRepository {\n  private val cache = mutableMapOf<String, User>()\n  override suspend fun getUser(id: String): User {\n    return cache.getOrPut(id) { api.fetchUser(id) }\n  }\n}",In Android Coil/Glide are image loading proxies. OkHttp interceptors act as proxies. Room is a proxy over SQLite.,https://refactoring.guru/design-patterns/proxy
Observer,Behavioral,Android,observer event listener callback reactive flow state notification,Define a subscription mechanism to notify multiple objects about events,Manual callback interfaces with register/unregister boilerplate | Tight coupling between event producer and consumers,StateFlow/SharedFlow for UI state | LiveData observation | Event bus replacement | Reactive data streams,Subject → Observer,"interface OnDataChanged {\n  fun onChanged(data: Data)\n}\nclass Repo {\n  private val listeners = mutableListOf<OnDataChanged>()\n  fun addListener(l: OnDataChanged) { listeners.add(l) }\n  fun notify() { listeners.forEach { it.onChanged(data) } }\n}","class Repo {\n  private val _data = MutableStateFlow<Data>(initial)\n  val data: StateFlow<Data> = _data.asStateFlow()\n}\n// In Composable\nval data by repo.data.collectAsStateWithLifecycle()",Kotlin Flow/StateFlow is the modern Observer in Android. Avoid manual listener patterns. Use SharedFlow for events and StateFlow for state.,https://developer.android.com/kotlin/flow
Observer,Behavioral,iOS,observer event listener callback reactive combine notification swift,Define a subscription mechanism to notify multiple objects about events,Manual delegate/callback chains | NotificationCenter overuse,Combine publishers for data streams | @Published property wrappers | AsyncSequence observation,Subject → Observer,"protocol DataDelegate: AnyObject {\n  func onDataChanged(_ data: Data)\n}\nclass Repo {\n  weak var delegate: DataDelegate?\n  func notify() { delegate?.onDataChanged(data) }\n}","class Repo: ObservableObject {\n  @Published var data: Data = .initial\n}\n// In SwiftUI View\n@ObservedObject var repo: Repo",SwiftUI @Published + @ObservedObject is the idiomatic Observer. Use Combine for complex reactive chains. Prefer over NotificationCenter.,https://developer.apple.com/documentation/combine
Observer,Behavioral,Flutter,observer event listener callback reactive stream bloc notification dart,Define a subscription mechanism to notify multiple objects about events,Manual callback functions passed through widget tree | Scattered setState calls,BLoC streams | StreamBuilder | ValueNotifier | ChangeNotifier,Subject → Observer,"class Repo {\n  Function(Data)? onChanged;\n  void notify(Data data) {\n    onChanged?.call(data);\n  }\n}","class Repo extends ChangeNotifier {\n  Data _data = Data.initial();\n  Data get data => _data;\n  void update(Data d) { _data = d; notifyListeners(); }\n}\n// Widget: Consumer<Repo>(builder: (_, repo, __) => Text(repo.data))",Flutter has built-in Observer via ChangeNotifier + Provider or BLoC streams. Avoid manual callback passing.,https://docs.flutter.dev/data-and-backend/state-mgmt
Strategy,Behavioral,All,strategy algorithm if else switch interchangeable behavior policy,Define a family of algorithms and make them interchangeable,Long if/else or when/switch chains selecting different algorithms | Duplicated conditional logic,Choosing sort/filter algorithms | Payment method processing | Authentication strategies | Image compression,Context → Strategy → ConcreteStrategy,"fun sort(items: List<Item>, type: String): List<Item> {\n  return when (type) {\n    ""price"" -> items.sortedBy { it.price }\n    ""name"" -> items.sortedBy { it.name }\n    ""date"" -> items.sortedBy { it.date }\n    ""rating"" -> items.sortedByDescending { it.rating }\n    else -> items\n  }\n}","fun interface SortStrategy {\n  fun sort(items: List<Item>): List<Item>\n}\nval byPrice = SortStrategy { it.sortedBy { i -> i.price } }\nval byName = SortStrategy { it.sortedBy { i -> i.name } }\n// Usage: strategy.sort(items)",Kotlin fun interfaces and lambdas make Strategy lightweight. In Flutter use typedef. In Swift use closures or protocols.,https://refactoring.guru/design-patterns/strategy
Command,Behavioral,All,command undo redo action queue execute encapsulate request,Encapsulate a request as an object letting you parameterize queue and undo operations,Undo/redo logic scattered across UI | Action handling mixed into view layer | No operation history,Text editor undo/redo | Drawing app operations | Form step navigation | Offline action queue,Command → ConcreteCommand → Invoker → Receiver,"// In ViewModel mixed with UI logic\nfun onBold() { text = text.bold(); history.add(""bold"") }\nfun onUndo() {\n  when (history.last()) {\n    ""bold"" -> text = text.unbold()\n    ""italic"" -> text = text.unitalic()\n  }\n}","interface Command {\n  fun execute()\n  fun undo()\n}\nclass BoldCommand(private val editor: Editor) : Command {\n  override fun execute() { editor.bold() }\n  override fun undo() { editor.unbold() }\n}\nclass History {\n  private val stack = ArrayDeque<Command>()\n  fun execute(cmd: Command) { cmd.execute(); stack.addLast(cmd) }\n  fun undo() { stack.removeLastOrNull()?.undo() }\n}",Essential for apps with undo/redo. Combine with MVI for event sourcing. Useful for offline-first apps queuing mutations.,https://refactoring.guru/design-patterns/command
State,Behavioral,All,state machine transition if else status enum behavior change,Allow an object to alter its behavior when its internal state changes,Complex if/else chains checking current state | Scattered state transition logic | Boolean flags controlling behavior,Order status workflows | Player states (play/pause/stop) | Authentication flow | Download manager states,Context → State → ConcreteState,"fun handle(order: Order) {\n  if (order.status == ""pending"") {\n    if (canProcess(order)) { order.status = ""processing"" }\n  } else if (order.status == ""processing"") {\n    if (isShipped(order)) { order.status = ""shipped"" }\n  } else if (order.status == ""shipped"") { ... }\n}","sealed class OrderState {\n  abstract fun next(order: Order): OrderState\n  object Pending : OrderState() {\n    override fun next(order: Order) = if (canProcess(order)) Processing else this\n  }\n  object Processing : OrderState() {\n    override fun next(order: Order) = if (isShipped(order)) Shipped else this\n  }\n}",Kotlin sealed classes are perfect for State pattern. Combine with MVI for predictable state machines. In Flutter use bloc states.,https://refactoring.guru/design-patterns/state
Template Method,Behavioral,All,template method algorithm skeleton hook override base class,Define the skeleton of an algorithm deferring some steps to subclasses,Duplicated algorithm with minor variations across classes | Copy-paste code with small differences,Base analytics tracker with platform variants | Common data sync flow | Standardized screen lifecycle,AbstractClass → ConcreteClass,"class AndroidSync {\n  fun sync() { fetchLocal(); fetchRemote(); merge(); saveLocal(); }\n}\nclass IOSSync {\n  fun sync() { fetchLocal(); fetchRemote(); merge(); saveLocal(); }\n} // duplicated","abstract class DataSync {\n  fun sync() { fetchLocal(); fetchRemote(); merge(); saveLocal() }\n  abstract fun fetchLocal(): Data\n  abstract fun fetchRemote(): Data\n  protected open fun merge(): Data { /* default merge */ }\n  abstract fun saveLocal(data: Data)\n}",In Kotlin prefer composition over inheritance when possible. Use Template Method when the algorithm skeleton is truly fixed.,https://refactoring.guru/design-patterns/template-method
Chain of Responsibility,Behavioral,All,chain responsibility handler request pipeline interceptor middleware,Pass requests along a chain of handlers letting each decide to process or pass along,Nested if/else for request validation/processing | Long validation sequences,Input validation chains | HTTP interceptor pipelines | Event handling | Permission checking,Handler → ConcreteHandler,"fun validate(input: Input): Result {\n  if (input.name.isBlank()) return Error(""Name required"")\n  if (input.email.isInvalid()) return Error(""Invalid email"")\n  if (input.age < 18) return Error(""Must be 18+"")\n  if (input.password.isWeak()) return Error(""Weak password"")\n  return Success\n}","interface Validator {\n  var next: Validator?\n  fun validate(input: Input): Result\n}\nclass NameValidator : Validator {\n  override fun validate(input: Input): Result {\n    if (input.name.isBlank()) return Error(""Name required"")\n    return next?.validate(input) ?: Success\n  }\n}",OkHttp Interceptors are a Chain of Responsibility. Use for composable validation and middleware patterns.,https://refactoring.guru/design-patterns/chain-of-responsibility
Mediator,Behavioral,All,mediator coordinator communication many-to-many decouple components,Define an object that encapsulates how a set of objects interact reducing many-to-many dependencies,Multiple components directly referencing and calling each other | Spaghetti communication between UI elements,Fragment/ViewController communication | Chat room | Form field dependencies | Multi-pane coordination,Mediator → ConcreteMediator → Colleague,"// Fragments directly calling each other\nclass ListFragment {\n  fun onItemClick(id: String) {\n    (activity as MainActivity).detailFragment.show(id)\n    (activity as MainActivity).filterFragment.highlight(id)\n  }\n}","class NavigationMediator {\n  private val colleagues = mutableMapOf<String, Fragment>()\n  fun notify(sender: String, event: Event) {\n    when (event) {\n      is ItemSelected -> colleagues[""detail""]?.show(event.id)\n    }\n  }\n}",Android Navigation Component and Jetpack Compose NavHost act as mediators. In iOS use Coordinator pattern. In Flutter use GoRouter.,https://refactoring.guru/design-patterns/mediator
Visitor,Behavioral,All,visitor double dispatch type checking sealed class operation,Define new operations on an object structure without changing the classes,Type-checking cascades with is/instanceof/as | Adding operations requires modifying every class in hierarchy,Processing AST nodes | Applying operations to sealed class hierarchies | Analytics event processing,Visitor → ConcreteVisitor → Element,"fun process(node: Node) {\n  when (node) {\n    is TextNode -> { renderText(node); logText(node); analyticsText(node) }\n    is ImageNode -> { renderImage(node); logImage(node); analyticsImage(node) }\n    is VideoNode -> { renderVideo(node); logVideo(node); analyticsVideo(node) }\n  } // every new operation adds another branch\n}","interface NodeVisitor {\n  fun visit(node: TextNode)\n  fun visit(node: ImageNode)\n  fun visit(node: VideoNode)\n}\nclass RenderVisitor : NodeVisitor { ... }\nclass AnalyticsVisitor : NodeVisitor { ... }",Kotlin sealed classes with when is often simpler than full Visitor for small hierarchies. Use Visitor when operations change more often than types.,https://refactoring.guru/design-patterns/visitor
Repository,Domain,Android,repository data source abstraction layer clean architecture,Abstract data access behind a clean interface hiding data source details,ViewModel or UI directly calling API/database | Data source logic mixed into presentation layer,Any app with remote + local data | Offline-first apps | Apps needing data caching strategy,Repository → DataSource (Remote + Local),"class UserViewModel {\n  suspend fun getUser(id: String): User {\n    val response = retrofit.create(UserApi::class.java).getUser(id)\n    val user = response.body()!!.toUser()\n    roomDb.userDao().insert(user)\n    return user\n  }\n}","interface UserRepository {\n  suspend fun getUser(id: String): User\n}\nclass UserRepositoryImpl @Inject constructor(\n  private val remote: UserRemoteDataSource,\n  private val local: UserLocalDataSource\n) : UserRepository {\n  override suspend fun getUser(id: String): User {\n    return local.getUser(id) ?: remote.getUser(id).also { local.save(it) }\n  }\n}",Core of Clean Architecture. Repository should return domain models not DTOs. Use Flow for reactive data. Inject via Hilt.,https://developer.android.com/topic/architecture/data-layer
Repository,Domain,iOS,repository data source abstraction layer clean architecture swift,Abstract data access behind a clean interface hiding data source details,View or ViewModel directly calling URLSession/CoreData | Network logic in SwiftUI views,Any app with network + persistence | Offline-first | Data synchronization,Repository → DataSource (Remote + Local),"class UserViewModel: ObservableObject {\n  func getUser(id: String) async {\n    let data = try await URLSession.shared.data(from: url)\n    let user = try JSONDecoder().decode(User.self, from: data.0)\n    try context.save()\n  }\n}","protocol UserRepository {\n  func getUser(id: String) async throws -> User\n}\nclass UserRepositoryImpl: UserRepository {\n  private let remote: UserRemoteDataSource\n  private let local: UserLocalDataSource\n  func getUser(id: String) async throws -> User {\n    if let cached = try? await local.getUser(id: id) { return cached }\n    let user = try await remote.getUser(id: id)\n    try await local.save(user)\n    return user\n  }\n}",Use Swift protocols for repository abstraction. Combine with async/await for clean data flow.,https://developer.apple.com/documentation/swiftdata
Dependency Injection,Creational,Android,dependency injection di hilt dagger constructor inject scope provide,Provide dependencies to objects rather than having them create their own,Manual object creation with constructor calls scattered | Hard-coded dependencies preventing testing,Any app beyond trivial size | Providing repositories to ViewModels | Swapping implementations for testing,Container → Module → Component → Injected class,"class UserViewModel {\n  private val repo = UserRepositoryImpl(\n    api = RetrofitClient.create(UserApi::class.java),\n    db = Room.databaseBuilder(...).build().userDao()\n  )\n}","@HiltViewModel\nclass UserViewModel @Inject constructor(\n  private val repo: UserRepository\n) : ViewModel() { ... }\n\n@Module @InstallIn(SingletonComponent::class)\nabstract class RepoModule {\n  @Binds abstract fun bindUserRepo(impl: UserRepositoryImpl): UserRepository\n}",Use Hilt for Android DI. Prefer constructor injection. Use @Binds over @Provides when possible. Scope carefully.,https://developer.android.com/training/dependency-injection/hilt-android
Dependency Injection,Creational,Flutter,dependency injection di get_it provider riverpod inject scope provide dart,Provide dependencies to objects rather than having them create their own,Manual object creation inside widgets | Hard-coded service instances,Any app with services/repositories | Testing with mock implementations | Feature modules,Container → Provider → Injected class,"class HomePage extends StatelessWidget {\n  final repo = UserRepositoryImpl(\n    api: ApiClient(),\n    db: LocalDb(),\n  );\n}","// With riverpod\nfinal userRepoProvider = Provider<UserRepository>((ref) {\n  return UserRepositoryImpl(\n    api: ref.read(apiProvider),\n    db: ref.read(dbProvider),\n  );\n});\n// In widget: ref.read(userRepoProvider)",Use riverpod or get_it for Flutter DI. Provider is simpler but less powerful. Riverpod is compile-safe and testable.,https://riverpod.dev/
Mapper,Structural,All,mapper data transfer object dto domain model convert transform,Separate data transformation logic from business logic into dedicated mapper classes,Data transformation code mixed into ViewModels or repositories | Duplicated mapping logic,Mapping API DTOs to domain models | Converting domain models to UI state | Database entity mapping,Mapper → Input → Output,"// In ViewModel\nfun loadUser(id: String) {\n  val response = api.getUser(id)\n  val user = User(\n    id = response.id,\n    fullName = ""${response.firstName} ${response.lastName}"",\n    avatarUrl = response.images.firstOrNull()?.url ?: """"\n  )\n}","class UserMapper {\n  fun toDomain(dto: UserDto): User = User(\n    id = dto.id,\n    fullName = ""${dto.firstName} ${dto.lastName}"",\n    avatarUrl = dto.images.firstOrNull()?.url ?: """"\n  )\n}\n// In Repository: mapper.toDomain(api.getUser(id))",Place mappers at layer boundaries in Clean Architecture. One mapper per DTO-to-domain conversion. Keep them pure functions.,https://developer.android.com/topic/architecture
Prototype,Creational,All,prototype clone copy duplicate object creation expensive,Create new objects by copying existing ones avoiding expensive creation,Repeated expensive object setup | Creating similar objects with minor variations,Duplicating configured objects | Copying UI component configurations | Cloning game entities,Prototype → clone(),"// Re-creating full config each time\nval config1 = NetworkConfig(timeout = 30, retries = 3, cache = true, interceptors = listOf(...))\nval config2 = NetworkConfig(timeout = 60, retries = 3, cache = true, interceptors = listOf(...)) // same but timeout","data class NetworkConfig(\n  val timeout: Int = 30,\n  val retries: Int = 3,\n  val cache: Boolean = true\n) // Kotlin data class has copy()\nval config2 = config1.copy(timeout = 60)",Kotlin data class copy() is a built-in Prototype. In Dart use copyWith(). In Swift use value types (struct) for implicit copying.,https://refactoring.guru/design-patterns/prototype
Bridge,Structural,Android,bridge abstraction implementation decouple platform variant hierarchy explosion,Decouple an abstraction from its implementation so the two can vary independently,Combinatorial explosion of subclasses when mixing two independent dimensions | Class hierarchy grows multiplicatively,"Theme × Component variations | Online/Offline × DataSource combinations | Platform × Feature implementations",Abstraction → RefinedAbstraction → Implementor → ConcreteImplementor,"class DarkListScreen : Screen { ... }\nclass LightListScreen : Screen { ... }\nclass DarkGridScreen : Screen { ... }\nclass LightGridScreen : Screen { ... }\n// 2 themes × 2 layouts = 4 classes (grows fast)","interface Theme { fun primaryColor(): Color; fun bgColor(): Color }\ninterface Screen { fun render(theme: Theme) }\nclass ListScreen : Screen {\n  override fun render(theme: Theme) { /* uses theme */ }\n}\nclass DarkTheme : Theme { ... }",Compose theming is a built-in Bridge — MaterialTheme separates theme from components. Use Bridge when you see NxM class hierarchies.,https://refactoring.guru/design-patterns/bridge
Bridge,Structural,iOS,bridge abstraction implementation decouple platform variant swift hierarchy,Decouple an abstraction from its implementation so the two can vary independently,Combinatorial subclass explosion across two independent variation axes | Duplicated code for each combination,Theme × Component styling | Renderer × Shape combinations | Storage × Serialization format,Abstraction → Implementor,"class DarkListVC: UIViewController { ... }\nclass LightListVC: UIViewController { ... }\nclass DarkGridVC: UIViewController { ... }\nclass LightGridVC: UIViewController { ... }","protocol Theme { var primary: UIColor { get }; var background: UIColor { get } }\nprotocol Screen { func render(theme: Theme) }\nclass ListScreen: Screen {\n  func render(theme: Theme) { /* uses theme */ }\n}",SwiftUI's environment-based theming is a built-in Bridge. Use this when independent dimensions cause subclass explosion.,https://refactoring.guru/design-patterns/bridge
Bridge,Structural,Flutter,bridge abstraction implementation decouple platform dart variant hierarchy,Decouple an abstraction from its implementation so the two can vary independently,Combinatorial widget explosion when mixing independent concerns | Duplicate widgets for each combination,Theme × Widget | Platform × Feature | Online/Offline × DataSource,Abstraction → Implementor,"class DarkListPage extends StatelessWidget { ... }\nclass LightListPage extends StatelessWidget { ... }\nclass DarkGridPage extends StatelessWidget { ... }\nclass LightGridPage extends StatelessWidget { ... }","abstract class AppTheme { Color get primary; Color get background; }\nabstract class PageContent { Widget build(AppTheme theme); }\nclass ListContent implements PageContent {\n  @override\n  Widget build(AppTheme theme) => ListView(/* uses theme */);\n}",Flutter's ThemeData and InheritedWidget are built-in bridges. Use explicitly when you see NxM widget proliferation.,https://refactoring.guru/design-patterns/bridge
Flyweight,Structural,Android,flyweight memory sharing cache pool object reuse intrinsic extrinsic,Share common state among many objects to reduce memory consumption,Thousands of similar objects each storing duplicate data | High memory usage from repeated object fields,Map markers with shared icons | RecyclerView item decorations | Particle effects | Chat message styling,FlyweightFactory → Flyweight → ConcreteFlyweight,"// Each marker stores its own icon bitmap\nmarkers.forEach { data ->\n  val marker = MarkerOptions()\n    .position(data.latLng)\n    .icon(BitmapDescriptorFactory.fromResource(data.iconRes)) // re-decoded each time\n  map.addMarker(marker)\n}","object MarkerIconCache {\n  private val cache = mutableMapOf<Int, BitmapDescriptor>()\n  fun get(iconRes: Int): BitmapDescriptor {\n    return cache.getOrPut(iconRes) {\n      BitmapDescriptorFactory.fromResource(iconRes)\n    }\n  }\n}\n// Usage: .icon(MarkerIconCache.get(data.iconRes))",Android BitmapPool in Glide is a Flyweight. RecyclerView.RecycledViewPool shares ViewHolders. Use when profiler shows high object allocation.,https://refactoring.guru/design-patterns/flyweight
Flyweight,Structural,Flutter,flyweight memory sharing cache pool object reuse dart intrinsic,Share common state among many objects to reduce memory consumption,Many similar widgets or objects duplicating shared data | High memory from repeated TextStyle/Decoration objects,Shared TextStyles across widgets | Icon caching | Repeated decorations in lists,FlyweightFactory → Flyweight,"// Each list item creates its own style\nListView.builder(\n  itemBuilder: (_, i) => Text(\n    items[i].name,\n    style: TextStyle(fontSize: 16, fontWeight: FontWeight.bold, color: Colors.black),\n  ),\n)","class AppStyles {\n  static const bodyBold = TextStyle(fontSize: 16, fontWeight: FontWeight.bold, color: Colors.black);\n}\n// Usage: Text(items[i].name, style: AppStyles.bodyBold)",Flutter const constructors are a built-in Flyweight. Always use const for TextStyle/BoxDecoration. Define theme extensions for shared styles.,https://refactoring.guru/design-patterns/flyweight
Null Object,Behavioral,Android,null object empty default avoid null check safe pattern kotlin,Provide a default no-op object instead of null to eliminate null checks,Pervasive null checks with ?. and ?: scattered throughout codebase | Nullable types where a default behavior is valid,Default analytics (no-op in debug) | Guest user object | Empty list states | Fallback logger,Interface → RealObject → NullObject,"fun trackEvent(analytics: Analytics?, event: String) {\n  analytics?.let {\n    it.logEvent(event)\n    it.setTimestamp(System.currentTimeMillis())\n    it.flush()\n  }\n}","interface Analytics {\n  fun logEvent(event: String)\n  fun flush()\n}\nclass FirebaseAnalytics : Analytics { /* real impl */ }\nobject NoOpAnalytics : Analytics {\n  override fun logEvent(event: String) {}\n  override fun flush() {}\n}\n// Usage: always non-null. analytics.logEvent(""click"")",Kotlin object is ideal for Null Objects (singleton + no-op). Eliminates entire categories of null checks. Combine with DI to swap real/no-op.,https://refactoring.guru/design-patterns/null-object
